CodParroquia;NomParroquia;CodCanton;;;
117P;PEDRO VICENTE MALDONADO, CABECERA CANTONAL;65Can;;;
118P;DAULE;66Can;;;
119P;SAN MIGUEL;30Can;;;
120P;SAN JOSÉ DE MORONA;67Can;;;
121P;CAMILO PONCE ENRÍQUEZ, CABECERA CANTONAL;68Can;;;
122P;ZARUMA, CABECERA CANTONAL;69Can;;;
123P;SININCAY;1Can;;;
124P;LA MATRIZ;70Can;;;
125P;QUEVEDO, CABECERA CANTONAL;71Can;;;
126P;PUERTO DE CAYO;72Can;;;
127P;CHARAPOTÓ;73Can;;;
128P;ARENILLAS, CABECERA CANTONAL;74Can;;;
129P;JADÁN;10Can;;;
130P;SAN FRANCISCO;18Can;;;
131P;AMBATO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;42Can;;;
132P;NUEVA LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;75Can;;;
133P;INGAPIRCA;56Can;;;
134P;LLACAO;1Can;;;
135P;CAÑAR, CABECERA CANTONAL;56Can;;;
136P;DELEG, CAB CANTONAL;76Can;;;
137P;EL TAMBO, CABECERA CANTONAL;77Can;;;
138P;EL PROGRESO (CAB. EN ZHOTA);61Can;;;
139P;PACCHA;152Can;;;
140P;DUG DUG;35Can;;;
141P;ECHEANDÍA, CABECERA CANTONAL;78Can;;;
142P;MILAGRO, CABECERA CANTONAL;79Can;;;
143P;SAN LUIS DE PAMBIL;47Can;;;
144P;RIOBAMBA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;54Can;;;
145P;EL DORADO DE CASCALES;80Can;;;
146P;GABRIEL IGNACIO VEINTIMILLA;47Can;;;
147P;SAN JOSÉ DE CHIMBO, CABECERA CANTONAL;81Can;;;
148P;GUARANDA, CABECERA CANTONAL, CAPITAL PROVINCIAL;47Can;;;
149P;CALUMA, CABECERA CANTONAL;82Can;;;
150P;PALORA (METZERA), CABECERA CANTONAL;32Can;;;
151P;LORETO, CABECERA CANTONAL;83Can;;;
152P;LA CONCORDIA, CABECERA CANTONAL;84Can;;;
153P;TOMÁS DE BERLANGA (SANTO TOMÁS);49Can;;;
154P;CALDERÓN (CARAPUNGO);4Can;;;
155P;GUANUJO;47Can;;;
156P;ANDRÉS DE VERA;85Can;;;
157P;ATACAMES, CABECERA CANTONAL;2Can;;;
158P;CANOA;86Can;;;
159P;MANUEL CORNEJO ASTORGA (TANDAPI);60Can;;;
160P;TÁLAG;7Can;;;
161P;MACHACHI, CABECERA CANTONAL;60Can;;;
162P;SOZORANGA (CAB. CANTONAL);87Can;;;
163P;PIÑAS, CABECERA CANTONAL;88Can;;;
164P;TANICUCHÍ;70Can;;;
165P;SAN MIGUEL, CABECERA CANTONAL;89Can;;;
166P;BOMBOLÍ;53Can;;;
167P;AHUANO;7Can;;;
168P;BALSAPAMBA;89Can;;;
169P;LAS NAVES (RURAL);90Can;;;
170P;SALINAS;25Can;;;
171P;BAÑOS DE AGUA SANTA, CABECERA CANTONAL;91Can;;;
172P;CHILLANES;92Can;;;
173P;LATACUNGA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;70Can;;;
174P;LIZARZABURU;54Can;;;
175P;ZARACAY;53Can;;;
176P;ESMERALDAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL;93Can;;;
177P;PASAJE, CABECERA CANTONAL;15Can;;;
178P;ELOY ALFARO  (SAN FELIPE) ;70Can;;;
179P;DUCUR;56Can;;;
180P;NARANJAL, CABECERA CANTONAL;13Can;;;
181P;SAGRARIO;1Can;;;
182P;GUAPAN;30Can;;;
183P;PUERTO BAQUERIZO MORENO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;95Can;;;
184P;PABLO SEXTO, CABECERA CANTONAL;96Can;;;
185P;BORRERO;30Can;;;
186P;SARAGURO, CABECERA CANTONAL;97Can;;;
187P;MADRE TIERRA;98Can;;;
188P;LOS ENCUENTROS;99Can;;;
189P;CARLOS ESPINOZA LARREA;25Can;;;
190P;LUIS CORDERO;30Can;;;
191P;CATAMAYO (LA TOMA), CABECERA CANTONAL;100Can;;;
192P;LA LIBERTAD, CABECERA CANTONAL;101Can;;;
193P;SUSCAL, CABECERA CANTONAL;102Can;;;
194P;ZHUD;56Can;;;
195P;NARANJITO, CABECERA CANTONAL;103Can;;;
196P;DIVINO NIÑO;104Can;;;
197P;GONZÁLEZ SUÁREZ;105Can;;;
198P;LA UNION;106Can;;;
199P;MONTECRISTI;107Can;;;
200P;TULCÁN, CABECERA CANTONAL Y CAPITAL PROVINCIAL;105Can;;;
201P;PEÑAHERRERA;94Can;;;
202P;MINDO;108Can;;;
203P;TUMBABIRO;108Can;;;
204P;PUERTO EL CARMEN DEL PUTUMAYO, CABECERA CANTONAL;110Can;;;
205P;HUACA, CABECERA CANTONAL;111Can;;;
206P;LA PAZ;45Can;;;
207P;JORDÁN;112Can;;;
208P;AMBUQUÍ;18Can;;;
209P;PACTO;4Can;;;
210P;URCUQUÍ, CABECERA CANTONAL;109Can;;;
211P;SAN MIGUEL DE IBARRA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;18Can;;;
212P;COTACACHI, CABECERA CANTONAL;94Can;;;
213P;ATUNTAQUI, CABECERA CANTONAL;113Can;;;
214P;JULIO ANDRADE (OREJUELA);105Can;;;
215P;OTAVALO, CABECERA CANTONAL;112Can;;;
