;Categoría;;;
1Cat;SEGUNDA;;;
2Cat;TERCERA;;;
3Cat;3 Estrellas;;;
4Cat;2 Estrellas;;;
5Cat;Categoría única;;;
6Cat;PRIMERA;;;
7Cat;CUARTA;;;
8Cat;1 Estrellas;;;
9Cat;(1) Un tenedor;;;
10Cat;(1) Una copa;;;
11Cat;SEGUNDA / 3 TENEDORES;;;
12Cat;LUJO / 2 TAZAS;;;
13Cat;PRIMERA / 1 TAZA;;;
14Cat;(1) Una tazas;;;
15Cat;4 Estrellas;;;
16Cat;PRIMERA / 3 COPAS;;;
17Cat;(2) Dos tazas;;;
18Cat;(2) Dos tenedores;;;
19Cat;(1) Una taza;;;
20Cat;TERCERA / 2 TENEDORES;;;
21Cat;CUARTA / 1 TENEDOR;;;
22Cat;(3) Tres tenedores;;;
23Cat;(3) Tres copas;;;
24Cat;LUJO;;;
25Cat;(2) Dos copas;;;
26Cat;(4) Cuatro tenedores;;;
27Cat;AGENCIA DE VIAJES INTERNACIONAL;;;
28Cat;5 Estrellas;;;
29Cat;AGENCIA DE VIAJES DUAL;;;
30Cat;SERVICIO TRANSP.TERRES.TURIS.;;;
31Cat;OPERADOR TURÍSTICO;;;
32Cat;RENT A CAR;;;
33Cat;(5) Cinco tenedores;;;
34Cat;AGENCIA DE VIAJES MAYORISTA;;;
35Cat;PRIMERA / 4 TENEDORES;;;
36Cat;TERCERA / 1 COPA;;;
37Cat;LUJO / 5 TENEDORES;;;
38Cat;LAN_TOUR_DIARIO;;;
39Cat;LANC_PASAJE;;;
40Cat;SEGUNDA / 2 COPAS;;;
41Cat;YATES_PASAJ;;;
42Cat;MOTONAVES;;;
43Cat;SERVICIO NACIONAL AEREO;;;
44Cat;INTER_OPER;;;
45Cat;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE REPRESENTACIÓN O INFORMACIÓN;;;
46Cat;MOTO_Velero;;;
47Cat;SERVICIO AVIONETAS HELICOPTEROS;;;
48Cat;FLUVIAL;;;
49Cat;TERCERA ;;;
50Cat;INTERNACIONAL NO OPERANTE EN EL PAÍS QUE TIENE OFICINAS DE VENTA;;;
51Cat;FUNICULARES O TELEFÉRICOS POR CABINAS;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
